"","btc_market_price","btc_total_bitcoins","btc_market_cap","btc_trade_volume","btc_blocks_size","btc_avg_block_size","btc_n_orphaned_blocks","btc_n_transactions_per_block","btc_median_confirmation_time","btc_hash_rate","btc_difficulty"
"btc_market_price",1,0.505539022756854,0.998753051716339,NA,0.778022014879593,0.548097971164286,-0.0184254264827142,0.634146709174658,0.381747780202301,0.936903410120826,0.946397964585746
"btc_total_bitcoins",0.505539022756854,1,0.489149431656095,NA,0.768629367177391,0.666797478309562,0.308633194590573,0.820590656386053,0.695206662434505,0.527690312127753,0.532433220683633
"btc_market_cap",0.998753051716339,0.489149431656095,1,NA,0.779411467695435,0.553651546641109,-0.0297074239983293,0.633004820212855,0.375891785316047,0.945049034667274,0.954675076855655
"btc_trade_volume",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"btc_blocks_size",0.778022014879593,0.768629367177391,0.779411467695435,NA,1,0.880539630933958,0.108766648816296,0.950863556778639,0.514559405794928,0.878160841917609,0.884843511782266
"btc_avg_block_size",0.548097971164286,0.666797478309562,0.553651546641109,NA,0.880539630933958,1,0.0840229588019021,0.892486416167573,0.41807589849691,0.683971957714486,0.690095263306991
"btc_n_orphaned_blocks",-0.0184254264827142,0.308633194590573,-0.0297074239983293,NA,0.108766648816296,0.0840229588019021,1,0.161313225259405,0.100093088492606,-0.0497413492304202,-0.0500948247245599
"btc_n_transactions_per_block",0.634146709174658,0.820590656386053,0.633004820212855,NA,0.950863556778639,0.892486416167573,0.161313225259405,1,0.567800621801343,0.734137254953171,0.751076469517334
"btc_median_confirmation_time",0.381747780202301,0.695206662434505,0.375891785316047,NA,0.514559405794928,0.41807589849691,0.100093088492606,0.567800621801343,1,0.399994526465586,0.420268856990409
"btc_hash_rate",0.936903410120826,0.527690312127753,0.945049034667274,NA,0.878160841917609,0.683971957714486,-0.0497413492304202,0.734137254953171,0.399994526465586,1,0.98824549530822
"btc_difficulty",0.946397964585746,0.532433220683633,0.954675076855655,NA,0.884843511782266,0.690095263306991,-0.0500948247245599,0.751076469517334,0.420268856990409,0.98824549530822,1
