"","goal","pledged","state","backers","usdpledged","endY","endMon","endD","endH","endMin","endS","initY","initMon","initD","initH","initMin","initS"
"goal",1,0.155506216564461,-0.100069801437732,0.146541283982876,0.128123361175113,0.0162572359711546,0.0882719608833647,0.115506508150794,0.0650691684640306,-0.0884859388697782,-0.00124703853811123,0.0206204893422075,0.0443345988333635,0.119410044646486,0.0715777717105754,-0.0159034933068155,-0.00124703853811123
"pledged",0.155506216564461,1,0.145524635073773,0.719803763236325,0.272541020087389,0.0934497745109588,0.022904075492362,0.0670139024267165,0.0499511638709859,-0.0960054563829873,-0.0547922087109739,0.0967384139842866,0.0176260113501838,-0.0725510254742896,-0.0206664814843648,0.0729537734973773,-0.0547922087109739
"state",-0.100069801437732,0.145524635073773,1,0.293322581144982,0.208116668512954,-0.092872967696482,0.00494145678760227,-0.00962517785908542,-0.103188362935878,0.0492689476888668,-0.0575489936386007,-0.0833919012562636,-0.0455987525497567,-0.0384774774268374,-0.117840605199421,-0.00589512053963463,-0.0575489936386007
"backers",0.146541283982876,0.719803763236325,0.293322581144982,1,0.637907288537676,0.0301653236610726,0.0560574069621871,0.000746953357044251,-0.0283247715108204,-0.102338566122217,-0.0391272005259811,0.0347033528190091,0.03365523066808,-0.0829044227873798,-0.07486220729926,-0.0247546916107409,-0.0391272005259811
"usdpledged",0.128123361175113,0.272541020087389,0.208116668512954,0.637907288537676,1,0.0142930483606745,0.0513471020078943,-0.0357004416307956,-0.0796782505826326,-0.0695490125491013,0.0526056915164389,0.0172697258428456,0.0184123003766964,-0.0345493984857731,-0.116752226898519,-0.0803709613275243,0.0526056915164389
"endY",0.0162572359711546,0.0934497745109588,-0.092872967696482,0.0301653236610726,0.0142930483606745,1,-0.0623378697575627,0.0711996664666531,0.134984192050633,-0.073851006281841,0.079932919232329,0.991097619521779,0.0435530154142333,-0.0103909945658333,0.18317262962,-0.0147225261162427,0.079932919232329
"endMon",0.0882719608833647,0.022904075492362,0.00494145678760227,0.0560574069621871,0.0513471020078943,-0.0623378697575627,1,0.0373924939328424,-0.129362243154232,0.0358267660555713,-0.000794201106842192,-0.00313867361764602,0.581436809160415,0.120127794532478,-0.0663127810942255,0.0145985677770579,-0.000794201106842192
"endD",0.115506508150794,0.0670139024267165,-0.00962517785908542,0.000746953357044251,-0.0357004416307956,0.0711996664666531,0.0373924939328424,1,0.0615089913879886,-0.139285412352893,-0.0283812884818855,0.083539940752652,-0.000981960585869588,0.530925822598165,0.0355428088743703,-0.0149264954747657,-0.0283812884818855
"endH",0.0650691684640306,0.0499511638709859,-0.103188362935878,-0.0283247715108204,-0.0796782505826326,0.134984192050633,-0.129362243154232,0.0615089913879886,1,-0.00220569148687138,0.109965974549171,0.117597989020757,-0.00847713911240209,0.00622762484789922,0.79097298947104,-0.0108878424758089,0.109965974549171
"endMin",-0.0884859388697782,-0.0960054563829873,0.0492689476888668,-0.102338566122217,-0.0695490125491013,-0.073851006281841,0.0358267660555713,-0.139285412352893,-0.00220569148687138,1,0.109975161541452,-0.081113330426424,0.0684143501737637,0.00641602163733454,-0.0416713871483974,0.607314028483802,0.109975161541452
"endS",-0.00124703853811123,-0.0547922087109739,-0.0575489936386007,-0.0391272005259811,0.0526056915164389,0.079932919232329,-0.000794201106842192,-0.0283812884818855,0.109965974549171,0.109975161541452,1,0.0760317449343879,0.0161135156139775,-0.0307405298921256,0.00952347241268769,-0.0264663860398481,1
"initY",0.0206204893422075,0.0967384139842866,-0.0833919012562636,0.0347033528190091,0.0172697258428456,0.991097619521779,-0.00313867361764602,0.083539940752652,0.117597989020757,-0.081113330426424,0.0760317449343879,1,-0.0174294055956125,-0.0116245626424127,0.160863478476861,-0.0195517491626992,0.0760317449343879
"initMon",0.0443345988333635,0.0176260113501838,-0.0455987525497567,0.03365523066808,0.0184123003766964,0.0435530154142333,0.581436809160415,-0.000981960585869588,-0.00847713911240209,0.0684143501737637,0.0161135156139775,-0.0174294055956125,1,0.0839080379199356,0.0924460414011298,0.0413488925261735,0.0161135156139775
"initD",0.119410044646486,-0.0725510254742896,-0.0384774774268374,-0.0829044227873798,-0.0345493984857731,-0.0103909945658333,0.120127794532478,0.530925822598165,0.00622762484789922,0.00641602163733454,-0.0307405298921256,-0.0116245626424127,0.0839080379199356,1,0.0159611749465602,-0.00147880562282068,-0.0307405298921256
"initH",0.0715777717105754,-0.0206664814843648,-0.117840605199421,-0.07486220729926,-0.116752226898519,0.18317262962,-0.0663127810942255,0.0355428088743703,0.79097298947104,-0.0416713871483974,0.00952347241268769,0.160863478476861,0.0924460414011298,0.0159611749465602,1,0.0268730896410467,0.00952347241268769
"initMin",-0.0159034933068155,0.0729537734973773,-0.00589512053963463,-0.0247546916107409,-0.0803709613275243,-0.0147225261162427,0.0145985677770579,-0.0149264954747657,-0.0108878424758089,0.607314028483802,-0.0264663860398481,-0.0195517491626992,0.0413488925261735,-0.00147880562282068,0.0268730896410467,1,-0.0264663860398481
"initS",-0.00124703853811123,-0.0547922087109739,-0.0575489936386007,-0.0391272005259811,0.0526056915164389,0.079932919232329,-0.000794201106842192,-0.0283812884818855,0.109965974549171,0.109975161541452,1,0.0760317449343879,0.0161135156139775,-0.0307405298921256,0.00952347241268769,-0.0264663860398481,1
